	preprocessed_sent	label_encoded
1456	 최시중이 권재진에 전화  인허가 이어  수사 무마  청탁 의혹 파이시티 인허가 로비 의혹 사건이 새로운 국면을 맞았다  최시중 전 방송통신위원회 위원장이 지난 2010년 10월 당시 청와대 민정수석으로 재직하던 권재진 법무장관에게 전화를 걸어 파이시티 전 대표의 경찰 수사와 관련해 청탁을 했다는 주장이 제기되면서다 	1
2133	서울시 시민청 방문객 500만명 돌파 8일부터 개관 3주년 행사 서울시청 지하 1 2층에 자리한  시민청 이 오는 12일 개관 3주년을 맞는다  지난 3년간 시민청엔 하루 평균 5160명의 시민들이 다녀갔고 지난해 12월30일 방문객 500만명을 돌파했다  3년간 시민청에서 105쌍의 커플이 작지만 개성 있는 결혼식을 올렸고  활력콘서트    토요일은 청이 좋아    한마음 살림장  등 시민참여 프로그램은 총 3860회 열렸다  시민 누구나 하고싶은 말을 할 수 있는  시민발언대 에서는 4352명이 목소리를 냈고  이중 서울시정과 관련된 발언 254건 가운데 79  보도블록 청결  지하철 객차 내 온도조절 등 200건 가 실제 반영됐다  500만번째 시민청 방문객인 서한결씨 28 는  시민청은 시간이 날 때마다 와서 쉬거나 소소한 즐거움을 즐길 수 있는 곳 이라며  지금 이대로의 시민청도 좋지만 좀 더 활동적인 공간이 되어 더 많은 시민들이 찾아왔으면 좋겠다 라고 말했다  서울시는 시민청 개관 3주년을 맞아 오는 8일부터 24일까지  함께해요  시민청 3주년 잔치  행사를 연다고 7일 밝혔다  이번 시민청 개관 3주년 행사는 500만명의 사랑나눔 동전 모으기 9 15일   음악회 9일 오후 3시 4시30분   시민청 열린포럼 9일 오후 1시 3시  등 3개 주요 프로그램과 다채로운 부대행사로 진행된다 	2
7379	최양락 이번에는 다트 게임 전도사   닷까기Z  해설  역전에 역전을 거듭하는 재미가 있다   최양락이 다트 중계에 도전했다  최양락은 27일 오후 2시 서울 마포구 서교동 다트전문바  A flight 에서 열린 케이블TV 채널 Mnet  최양락의 닷까기Z  제작발표회에서 다트 게임의 전도사로 변모했다 	7
262	 2018년 나로2호 순수 우리기술로 쏜다  한국 첫 우주센터로서 우주개발의 산실로 자리매김할 고흥 나로우주센터가 11일 준공됨에 따라 한국이 우주 강국을 향한 힘찬 발걸음을 내딛을 전망이다   관련기사 인터뷰 3면 	0
5044	신세계 사이먼 프리미엄 아울렛 보너스 세일 17일부터 26일까지 신세계 사이먼 대표 조병하  여주 파주 시흥 부산 프리미엄 아울렛이 17일부터 오는 26일까지  윈터 빅 보너스 세일 Winter Big Bonus Sale  을 실시한다  총 300여 개 브랜드가 참여해 아우터  스웨터  부츠 등 겨울 시즌 상품을 최고 80  할인 판매한다  모든 매장에서 특별 할인행사를 열고 40만 원 이상 구매 시 아울렛 가격에서 10  추가로 할인해준다 	5
2859	레버넌트   한 자연을 순례하듯 생존을 위해 생존한 남자  왜 사는가  	2
8947	   정부조직법  정면돌파  나섰지만 여야  협상 결렬 새정부 출범 비상 17일 이뤄진 박근혜 당선인의 3차 인선 발표엔 당초 청와대 비서실과 기획재정부 장관 겸 경제부총리 등 내각의 일부 후보자 명단이 포함될 것으로 예상됐다  정부조직 개편안 처리를 위한 여야 협상이 진행 중인 데다 국회의 인사청문회 일정도 대통령 취임식 이후 시작할 수밖에 없는 만큼  하루 이틀 더 기다리지 않겠느냐 는 전망이 많았다  하지만 이날 인선에선 지난 13일 1차 조각 인선에서 제외된 11개 부처의 장관 후보자 명단이 일괄 발표됐다  미래창조과학부 등 정부조직 개편에 따라 신설되는 부처 장관 후보자도 포함됐다  이로써 새 정부의 조각    은 모두 완료된 셈이다 	8
7179	중고물품 판매 나선 I O I 직거래 현장은  신곡  너무너무너무 로 각종 음원차트를 휩쓸고 있는 I O I가 모바일 예능  연예인 중고나라 체험기 개이득 의 11번째 주자로 나섰다  모바일 미디어 그룹 모모콘은 자사 브랜드 MOMO X를 통해 걸그룹 아이오아이 I O I 와 함께한  연예인 중고나라 체험기 개이득 을 21일 공개했다 	7
3516	미련 못버리는 서울대병원 유치  속보 세종시가 응급의료기관을 설립해 서울대병원에 위탁운영하는 방안을 검토 중인 것으로 알려져 의료기관 유치를 둘러싼 논란이 끊이질 않고 있다  정부가 지난 4일 세종시 첫마을에 시립병원을 설립하겠다는 것도 서울대병원 위탁운영을 염두에 둔 발표란 지적이 나오면서 이 같은 논란은 계속될 전망이다  11일 시에 따르면 중앙행정기관 이주 공무원과 세종시 첫마을 입주민의 의료 공백을 없애기 위해 오는 5월까지 30병상 이상의 응급의료기관을 설립한다는 방침이다  시는 의료기관 설치를 위해 정부로부터 특별교부세 15억원을 확보해 놓은 상태다 	3
4447	결국 울어버린 천안함 함장  복귀신고만 기다려  천안함 생존자들이 침몰 사고 이후 처음 모습을 드러낸 7일 오전 성남 국군수도통합병원  파란색 줄무늬 환자복을 입은 50여명의 장병들 사이에 홀로 군복을 입은 이가 애써 허공을 응시하고 있었다 	4
5081	도심 교통체증 개선  대중교통이  지름길  5월 지역 수송분담률 39 5  그쳐 강남 등 연결 광역버스 노선 확충	5
811	빅데이터로 창업 성공 예측한다 SKT  프로그램 개발 착수 빅데이터를 활용해 특정 상권에서 창업 아이템의 성공 가능성을 사전에 평가하는 창업성공 예측모형이 개발된다  SK텔레콤과 신용보증재단중앙회   데이타솔루션은 빅데이터 분석을 통한 소상공인 창업 성공을 지원하는 내용의 양해각서 MOU 를 체결했다고 16일 밝혔다 	0
4540	정치학 석학 조지프 나이   권력의 새 시대  WP 기고  연구개발과 고등교육  기업 활동의 리더인 미국은 과거 로마 제국처럼 절대적인 쇠퇴기에 들어간 것은 아니다   쇠퇴 는 잘못된 은유다   당대 최고의 국제정치학자로 꼽히는 하버드대 케네디스쿨의 조지프 나이 교수가 중국의 부상에 따른 미국 쇠퇴론에 반기를 들고 나섰다 	4
5682	포드세일즈코리아 고객안전운전교육 프로그램 성료 포드세일즈서비스코리아는 포드의 글로벌 안전교육프로그램인  드라이빙 스킬 포 라이프 DSFL  를 성황리에 마쳤다고 30일 밝혔다  포드의 DSFL은 올바른 운전 교육을 통해 운전자 및 탑승자의 안전을 지키고 나아가 안전 운전 문화를 사회 전반에 확산시키는 것을 목적으로 하는 프로그램이다 	5
8463	박근혜표 창조경제론  토목기반 아닌 지식기반 성장  종합  새누리당 박근혜 대선 후보는 18일  토목기반의 단기성장이 아니라 지식기반의 지속가능한 중장기 성장을 이끌겠다 고 밝혔다  박 후보는 이날 오전 여의도 당사에서  박근혜의 창조경제론 이라는 제목의 정책발표회를 통해 이같이 밝혔다 	8
4234	지역    미스매치  인력난 해소한다  일자리 미스매치 로 인한 지역 중소기업의 인력수급 문제를 해결하기 위한  기업인력애로센터 가 출범한다  6일 중소기업청과 중소기업진흥공단에 따르면 광주와 전남지역본부 내에 기업인력애로센터를 설치하고  중소기업과 취업 희망자를 연결해주는 맞춤형 채용 서비스를 제공하기로 했다 	4
5588	 놀아  명령하는 순간 놀이도 노동이 된다 네덜란드의 문화사가 요한 하위징아는 노동과 놀이의 차이가 무엇인지에 대한 깊이 있는 통찰로 유명한 인물이다  그에 따르면  노동 은 수단과 목적이 분리돼 있지만  놀이 는 수단과 목적이 결합돼 있다  건물 공사장에서 모래를 나르는 사람을 예로 들어보자  그들이 모래를 나르는 목적은 임금을 받기 위해서다  따라서 모래 나르기는 돈을 벌기 위한 수단이다  이들에게 모래 나르기가 즐거울 리 없다  그렇다면 즐거움은 언제 찾아올까  모래를 모두 옮기고 난 후 임금을 받는 순간이다  고단한 모래 나르기는 이처럼 한순간의 즐거움을 위한 희생이다  이것이 바로 노동이다  이런 노동 속에서 즐거움을 찾기는 힘들다 	5
4659	평양냉면 먹으며 역사적 순간 기념  군사분계선 넘는 장면에 격세지감 남과 북의 정상이 다시 만나 빚어내는 순간들이 TV에 속속 송출되자 시민들은 역사의 현장을 눈과 귀로 담으며 격세지감을 이야기했다  학생들은 학교에서 생중계로 정상회담을 시청하며 생생한  역사 교육 을 체험했고  직장인들은 이날을 기념해 만찬 메뉴인  평양냉면 을 점심으로 즐겼다  10대부터 중장년  노년층까지 세대별로 저마다 다른 반응으로 역사적인 순간을 기념했다 	4
8541	기성정치 불신이 키운 제3후보 돌풍  기성정당 벽에 막혀  찻잔속 태풍 으로 한국의 대통령 선거사   에서 제3후보 돌풍은 새로운 현상이 아니다  1992년의 정주영 전 현대그룹 회장  1997년 이인제 의원  2002년 정몽준 의원  2007년 문국현 전 의원이 그들이다  이들은 모두 대선 직전 돌풍을 일으키며 대통령의 꿈을 키웠지만 누구도 결실을 맺지 못했다  정치학자들은 제3후보 돌풍의 근원적인 이유를  기존 정치에 대한 불신 이라고 분석한다  제3후보는 각 언론사의 여론조사로 탄생한다  여기에 야권 대선주자의 부진과 새로운 정치에 대한 국민들의 열망이 합쳐지면  돌풍 으로 커지게 된다  안철수 서울대 융합과학기술대학원장 역시 비슷한 과정을 밟고 있다  안 원장 역시 그 의미를 알고 있다  안 원장이  지금의 지지율은 온전한 지지라기보다는 기성 정치권에 대한 불만의 표현 이라고 말한 것도 이 때문이다 	8
8416	세종시  자족의 면모도 갖춰라 국무총리실이 오늘부터 세종특별자치시로 대이동을 시작하면서 행정중심축이 서울에서 세종시로 옮겨간다  총리실을 시작으로 2014년까지 16개 중앙행정기관과 20개 소속 기관 등 36개 정부기관이 순차적으로 이전한다 	8
7761	 싸이  젠틀맨  떴다   전세계가  들썩  가수 싸이 36세 의 신곡  젠틀맨  Gentleman 의 뮤직비디오가 공개된 지 채 하루도 지나지 않아 유튜브 조회 수 1000만 건을 돌파하며 인기 행진을 이어가고 있다  싸이는 지난 13일 이하 한국 시각  저녁 서울 월드컵경기장에서 열린 단독 콘서트  해프닝 에서  젠틀맨  뮤직비디오와 안무를 최초로 선보였다  뮤직비디오는 이날 오후 9시쯤 유튜브 등 온라인에도 공개됐다  14일 오후 2시 현재 해당 뮤직비디오의 유튜브 조회 수는 1073만 건  케이팝 K Pop  가수로는 조회 수 증가세가 가장 빠른 편에 속한다 	7
7207	8 30 중고생 이정조 대부분 학교에서 점심때를 이용해 학교 방송실에서 음악방송을 내보낸다  공부에 지친 학생들에게 잠시나마 휴식을 취할 수 있도록 하자는 배려에서다  하지만 선곡이 대체로 천편일률적이고 학생들의 취향에 맞는 최신곡은 배제되기 일쑤다  최근 일부 학교에서는 교실 TV와 학생들의 휴대용 음악 기기를 활용해 학급별로 음악방송을 하고 있어 눈길을 끌고 있다  한 학교에서는 매일 점심때 나오던 방송실 음악방송이 중단된 틈을 타 시작됐다   음악이 아쉬운  학생들이 자발적으로 시작한 학급 음악방송은 음악 선정은 물론 DJ도 원하는 학생 누구나 할 수 있다 	7
6784	블랙아웃 피하려면  Go out  야간의 열대야 현상과 블랙아웃을 동시에 피하는 방법으로   도심 속 캠핑 과  락 Rock  페스티벌 속 캠핑 이 각광받고 있다  밤에 캠핑을 즐기는  나핑족 나이트 캠핑족    락 Rock  페스티벌 캠핑 매니아  락페족 이라는 신조어가 등장할 정도다 	6
3562	국산 캐릭터  뿌까  글로벌 패션 아이콘 부상 애니메이션과 봉제인형 등에 한정됐던 캐릭터가 고급 패션 아이콘으로 거듭나고 있다  10일 서울 마포구 상암동 문화콘텐츠센터에서 개막한  2010 뿌까 전시전 은 캐릭터의 변신과 비전을 제시하는 현장이었다  이재웅 한국콘텐츠진흥원 원장은  이번 전시는 캐릭터 하나가 명품 브랜드로 거듭나 산업적 부가가치를 높일 수 있다는 점을 보여주는 행사 라고 강조했다    유명 패션 브랜드와의 협업	3
2718	문화 6 6  젊은 무용가들 기량볼 수 있는 공연 나란히 개최 문화 6 6  젊은 무용가들 기량볼 수 있는 공연 나란히 개최 대구지역 젊은 무용가들의 기량을 살펴볼 수 있는 무대가 오는 11일 대구에서 나란히 펼쳐진다  발레리나 우혜영과 현대무용가 장현희가 마련한 무대다 	2
4415	조현오  디도스 수사팀 질타   혼자 살겠다 고 책임회피  종합  조현오 경찰청장이 선관위 디도스 사건과 관련해  대가성 금전거래 가능성을 배제하지 않겠다 고 기존 입장을 뒤집으면서 그 배경에 관심이 쏠리고 있다  조 청장은 16일 기자간담회를 자처해 이같이 말하면서 우발적인 단독 범행으로 수사결과를 발표한 황운하 경찰청 수사기획관과 의견 충돌을 빗기도 해 경찰 지휘부는 적전 분열 양상도 보였다 	4
6579	고영민 연이틀 축포  두산 거침없는 2연승 PO 2차전서 SK 또 꺾어   포스트시즌 악몽 끝낸다   발에는 슬럼프가 없다 는 야구 격언이 있다  타격이나 투구는 경기 당일 컨디션의 영향을 많이 받지만 주루는 별다른 영향이 없다는 것 	6
683	카카오 하트펀딩  내가 하트를 쏘면  작가가 글을 쓴다   내가 하트를 쏘면  작가가 글을 쓴다   카카오가 작가와 배우 등 창작자를 순수하게 응원하는 콘텐츠 크라우드 펀딩 플랫폼  하트펀딩 을 3일 오픈했다  기존 크라우드 펀딩이 콘텐츠 제작에 필요한 비용을 모으는 데 중점을 뒀다면  하트펀딩은 금전적인 부담 없이 창작자의 콘텐츠를 후원하는 마음을 하트로 전달하는 것이 특징이다  따라서 하트를 누르는 데에는 금전적인 비용이 들지 않으며  한 사람이 제한 없이 하트를 누를 수 있다  작가 역시 하트로 돈을 버는 것이 아니라  그만큼 자신과 소통하고 싶어하는 대중이 많다는 점을 확인하고 콘텐츠를 생산해 공개한다 	0
4125	MB 소환  평창 올림픽 이전으로 앞당겨지나  세계인 이목 쏠릴 올림픽 전 대통령 소환에  부담   김백준 등 구속 끝나는 2월 초가 중요한 고비로	4
2929	 탈북자 돕자  희망을 노래한 연예인들 배우 차인표 45 씨 등 중국에 억류된 탈북자의 북송을 반대해왔던 연예인들이 4일 저녁 연세대 100주년기념관에서 탈북동포 위로 공연인  크라이 위드 어스  Cry with us 를 열었다   크라이 위드 어스 는 차씨가 2008년 출연한 탈북자의 삶을 다룬 영화  크로싱 의 주제곡이다  또 이번  탈북자 강제북송 반대운동  과정에서 차씨와 개그우먼 이성미 53 씨가 주도해 만든 연예인 모임의 이름이기도 하다  크라이 위드 어스에는 현재 차씨와 이씨를 비롯해 가수 윤복희 66  장혜진 44 씨  배우 심혜진 45  신애라 43 씨  개그우먼 박미선 45 씨 등 연예인 30여명이 참여하고 있다 	2
6418	다르빗슈     공인구 사태 에 직격탄 일본 프로야구계를 발칵 뒤집어놓은 공인구 반발력 조정 은폐 사건  현 일본 출신 메이저리거 중 최고 스타로 꼽히는 다르빗슈 유 텍사스 도 쓴소리를 쏟아냈다  다르빗슈는 14일 스포츠닛폰 등 일본 언론을 통해 공인구 반발력 조정 은폐 사건에 대해  홈런이 올해 초부터 굉장히 많이 나와서  반발력이  바뀌었는지 생각했다 면서  이런 행동들을 하고 있으면 팬들이 오지 않지 않을까 라며 야구 인기 저하에 대한 우려감을 드러냈다 	6
5260	광주 다문화 부부 열쌍  빛다모 봉사단  발대  이젠 다른 사람들을 돕고 싶어요  받기만 하는 것 보다는 작은 것이라도 형편 되는대로 나누는 것이 행복하잖아요   광주에 사는 결혼 이주여성들이 주변의 어려운 이웃을 돕기 위해 한 자리에 모였다  이국생활을 견뎌내고 봉사활동을 통해 자부심을 갖고  진정한 대한민국의 국민 으로 살아가기로 한 것이다 	5
4757	경북대 학생 3명  대한민국 인재상  수상 최근 경북대 학부생인 조동인씨 26 전기공학과 4년 와 심소진씨 여 21 전자공학부 4년   조현서씨 26 전자공학부 4년 가  2015 대한민국 인재상 을 수상했다  지난해에도 수상자를 배출했던 경북대는 올해 대학생 부문에서 3명을 배출해 우수 인재 산실로서의 명성을 다시 한 번 확인했다  대한민국 인재상은 창의와 열정으로 새로운 가치를 창출하고  타인을 배려하며 공동체 발전에 기여한 인재를 발굴하여 향후 국가의 주축으로 성장할 수 있도록 지원하고자 2001년부터 매년 시상하고 있다  교육부가 주최하고 한국과학창의재단이 주관하는 사업으로  올해는 고교생 50명  대학생 42명  청년일반 8명 등 100명에게  2015 대한민국 인재상 이 주어졌다  시상식은 지난달 27일 세종문화회관에서 열렸다 	4
5340	대선 무학  광고 전략 변화 눈길 지역 소주업계의 라이벌 대선주조와 무학이 최근 자사의 광고 콘셉트에 변화를 시도하고 있어 눈길을 끌고 있다  대선이 부산 기장군 삼방산 암반수로 소주를 만든다는 점을 강조하고 있는 반면 무학은 과감한 장학 사업을 포함한 다양한 사회공헌활동으로 맞서고 있다  이는 지난 8월 공정거래위원회가 양 사에 내린 시정명령과도 관계가 있는 것으로 보인다  23일 부산지역 소주 업계에 따르면 대선주조는 최근 신문 등 주요 매체 광고를 통해 자사의 소주 즐거워예 등 는 천연암반수를 100  사용한다고 대대적으로 홍보하고 있다  기장군은 대선주조의 신축 생산 공장이 위치해 있는 지역이기도 하다  대선주조의 이같은 홍보 전략은 소비자들이 소주의 주된 원료인 물의 성분에 민감하다는 점을 감안한 것으로 풀이된다 	5
803	삼성 지펠  글로벌 누적 판매 1천만대 돌파 삼성전자 양문형 냉장고 지펠이 글로벌 누적 판매 1천만대를 돌파했다  28일 삼성전자에 따르면  삼성 지펠은 미국  남아프리카공화국 등 세계 전역에서 판매되며 2006년부터 2010년까지 5년 연속 세계 양문형 냉장고 점유율 1위를 차지했다 	0
445	전남 친환경 생태연못  둠벙   생태계 복원 효과 톡톡 전라남도가 추진해온 친환경생태연못 둠벙 에서 그동안 사라졌던 수생생물들이 발견되는 등 생태계가 복원되면서 생물종이 다양화되고 수질도 크게 개선되고 있는 것으로 확인됐다  23일 전라남도에 따르면 농업기술원이 지난 5월 30일까지 한달여동안 담양과 곡성  강진 등 3개 시군의 자연둠벙 3곳과 인공둠벙 3곳 등 총 6곳 둠벙에서 발생한 생태계 다양성을 조사했다 	0
2661	생채기투성이 나무판 위의 몽환적인 그림들 언뜻 보면 화사한 색상에 아름다운 여인과 아이의 모습이 캔버스 위에 펼쳐진 것처럼 보인다  그러다 가까이 다가가서 보니 이게 웬일  그림이 그려진 나무판의 표면은 마치 뜯겨 나간 듯 온통  생채기  투성이다  단순 평면이 아니라 텍스츄어 Texture  질감 가 도드라진 반부조     의 작품은 딱딱한 나무임에도 부드러운 감촉으로 다가오는 반전의 매력을 준다  미광화랑 부산 수영구 민락동 에서 오는 29일까지 열리는  김남진 개인전 DNA 정원 에서는 나무판을 전기드릴로 깎아내고 그 위에 채색하는 독특한 기법을 구사해 일반적인 유화나 아크릴 작업과는 확연히 다른 작가만의 회화를 만날 수 있다  전시에는 8호 소품에서 200호 대작까지 다양한 사이즈의 작품 21점이 출품됐다 	2
969	드라마 TV신기술 방송콘텐츠  큰    선다 중국 방송콘텐츠 시장은 2010년 기준 171억달러로 한국의 4배에 이른다  중국이 구매한 한국 방송콘텐츠는 2006년 798만달러에서 수입금지 조치가 내려진 2007년 530만달러로 줄었다가 이듬해 증가세로 돌아서 2010년 2100만달러로 급증했다  중국은 드라마  풀 하우스   아내의 유혹  등의 포맷을 수입  리메이크도 하고 있다  중국 드라마에 출연하는 한국 배우들도 늘어나는 추세다  이 같은 한류 열기에 힘입어 중국의 100여개 방송 관련 업체 관계자들과 바이어들이 대거 내한한다  다음달 5일부터 7일까지 코엑스 D홀과 E홀에서 열리는 제12회  국제방송콘텐츠전시회 BCWW  에 참석하기 위해서다  문화체육관광부가 주최하고 한국콘텐츠진흥원이 주관하는 이번 행사에는 한 중 수교 20주년을 맞아서인지 중국인 바이어들이 지난해보다 3배 더 많이 참석한다 	0
2285	도심 곳곳이 전시장   예술로 광주 알리고 시민과 대화  터전을 불태우라 를 주제로 열리는 2014광주비엔날레 9월5일 11월9일  개막이 한 달 앞으로 다가왔다  20주년을 맞는 올해 광주비엔날레에는 5 18 광주민주화운동에 근간을 둔 작품이 대거 선보인다  또 광주 곳곳이 시민들의 전시공간이자 커뮤니티 공간으로 탈바꿈한다 	2
